symbol,date,open,high,low,close,volume
AAPL,2025-08-07,218.88,220.85,216.58,220.03,90224800
AAPL,2025-08-08,220.83,231,219.25,229.35,113854000
AAPL,2025-08-11,227.92,229.56,224.76,227.18,61806100
AAPL,2025-08-12,228.01,230.8,227.07,229.65,55626200
AAPL,2025-08-13,231.07,235,230.43,233.33,69878500
AAPL,2025-08-14,234.06,235.12,230.85,232.78,51916300
AAPL,2025-08-15,234,234.28,229.34,231.59,56038700
AAPL,2025-08-18,231.7,233.12,230.11,230.89,37476200
AAPL,2025-08-19,231.28,232.87,229.35,230.56,39402600
AAPL,2025-08-20,229.98,230.47,225.77,226.01,42263900
AAPL,2025-08-21,226.27,226.52,223.78,224.9,30621200
AAPL,2025-08-22,226.17,229.09,225.41,227.76,42477800
AAPL,2025-08-25,226.48,229.3,226.23,227.16,30983100
AAPL,2025-08-26,226.87,229.49,224.69,229.31,54575100
AAPL,2025-08-27,228.61,230.9,228.26,230.49,31259500
AAPL,2025-08-28,230.82,233.41,229.34,232.56,38074700
AAPL,2025-08-29,232.51,233.38,231.37,232.14,39418400
AAPL,2025-09-02,229.25,230.85,226.97,229.72,44075600
AAPL,2025-09-03,237.21,238.85,234.36,238.47,66427800
AAPL,2025-09-04,238.45,239.9,236.74,239.78,47549400
AAPL,2025-09-05,240,241.32,238.49,239.69,54870400
AAPL,2025-09-08,239.3,240.15,236.34,237.88,48999500
AAPL,2025-09-09,237,238.78,233.36,234.35,66313900
AAPL,2025-09-10,232.19,232.42,225.95,226.79,83440800
AAPL,2025-09-11,226.88,230.45,226.65,230.03,50208600
AAPL,2025-09-12,229.22,234.51,229.02,234.07,55824200
AAPL,2025-09-15,237,238.19,235.03,236.7,42699500
AAPL,2025-09-16,237.18,241.22,236.32,238.15,63421100
AAPL,2025-09-17,238.97,240.1,237.73,238.99,46508000
AAPL,2025-09-18,239.97,241.2,236.65,237.88,44249600
AAPL,2025-09-19,241.23,246.3,240.21,245.5,163741300
AAPL,2025-09-22,248.3,256.64,248.12,256.08,105517400
AAPL,2025-09-23,255.88,257.34,253.58,254.43,60275200
AAPL,2025-09-24,255.22,255.74,251.04,252.31,42303700
AAPL,2025-09-25,253.21,257.17,251.71,256.87,55202100
AAPL,2025-09-26,254.1,257.6,253.78,255.46,46076300
AAPL,2025-09-29,254.56,255,253.01,254.43,40127700
AAPL,2025-09-30,254.86,255.92,253.11,254.63,37704300
AAPL,2025-10-01,255.04,258.79,254.93,255.45,48713900
AAPL,2025-10-02,256.58,258.18,254.15,257.13,42630200
AAPL,2025-10-03,254.67,259.24,253.95,258.02,49155600
AAPL,2025-10-06,257.99,259.07,255.05,256.69,44664100
AAPL,2025-10-07,256.81,257.4,255.43,256.48,31955800
AAPL,2025-10-08,256.52,258.52,256.11,258.06,36496900
AAPL,2025-10-09,257.81,258,253.14,254.04,38322000
AAPL,2025-10-10,254.94,256.38,244,245.27,61999100
AAPL,2025-10-13,249.38,249.69,245.56,247.66,38142900
AAPL,2025-10-14,246.6,248.85,244.7,247.77,35478000
AAPL,2025-10-15,249.49,251.82,247.47,249.34,33893600
AAPL,2025-10-16,248.25,249.04,245.13,247.45,39777000
AAPL,2025-10-17,248.02,253.38,247.27,252.29,49147000
AAPL,2025-10-20,255.89,264.38,255.63,262.24,90483000
AAPL,2025-10-21,261.88,265.29,261.83,262.77,46695900
AAPL,2025-10-22,262.65,262.85,255.43,258.45,45015300
AAPL,2025-10-23,259.94,260.62,258.01,259.58,32754900
AAPL,2025-10-24,261.19,264.13,259.18,262.82,38253700
AAPL,2025-10-27,264.88,269.12,264.65,268.81,44888200
AAPL,2025-10-28,268.99,269.89,268.15,269,41534800
AAPL,2025-10-29,269.28,271.41,267.11,269.7,51086700
AAPL,2025-10-30,271.99,274.14,268.48,271.4,69886500
AAPL,2025-10-31,276.99,277.32,269.16,270.37,86167100
AAPL,2025-11-03,270.42,270.85,266.25,269.05,50194600
AAPL,2025-11-04,268.33,271.49,267.62,270.04,49274800
AAPL,2025-11-05,268.61,271.7,266.93,270.14,43683100
AAPL,2025-11-06,267.89,273.4,267.89,269.77,51204000
AAPL,2025-11-07,269.8,272.29,266.77,268.47,48227400
AAPL,2025-11-10,268.96,273.73,267.46,269.43,41312400
AAPL,2025-11-11,269.81,275.91,269.8,275.25,46208300
AAPL,2025-11-12,275,275.73,271.7,273.47,48398000
AAPL,2025-11-13,274.11,276.7,272.09,272.95,49602800
AAPL,2025-11-14,271.05,275.96,269.6,272.41,47431300
AAPL,2025-11-17,268.82,270.49,265.73,267.46,45018300
AAPL,2025-11-18,269.99,270.71,265.32,267.44,45677300
AAPL,2025-11-19,265.53,272.21,265.5,268.56,40424500
AAPL,2025-11-20,270.83,275.43,265.92,266.25,45823600
AAPL,2025-11-21,265.95,273.33,265.67,271.49,59030800
AAPL,2025-11-24,270.9,277,270.9,275.92,65585800
AAPL,2025-11-25,275.27,280.38,275.25,276.97,46914200
AAPL,2025-11-26,276.96,279.53,276.63,277.55,33431400
AAPL,2025-11-28,277.26,279,275.99,278.85,20135600
AAPL,2025-12-01,278.01,283.42,276.14,283.1,46587700
AAPL,2025-12-02,283,287.4,282.63,286.19,53669500
AAPL,2025-12-03,286.2,288.62,283.3,284.15,43538700
AAPL,2025-12-04,284.1,284.73,278.59,280.7,43989100
AAPL,2025-12-05,280.54,281.14,278.05,278.78,47265800
AAPL,2025-12-08,278.13,279.67,276.15,277.89,38211800
AAPL,2025-12-09,278.16,280.03,276.92,277.18,32193300
AAPL,2025-12-10,277.75,279.75,276.44,278.78,33038300
AAPL,2025-12-11,279.1,279.59,273.81,278.03,33248000
AAPL,2025-12-12,277.9,279.22,276.82,278.28,39532900
AAPL,2025-12-15,280.15,280.15,272.84,274.11,50409100
AAPL,2025-12-16,272.82,275.5,271.79,274.61,37648600
AAPL,2025-12-17,275.01,276.16,271.64,271.84,50138700
AAPL,2025-12-18,273.61,273.63,266.95,272.19,51630700
AAPL,2025-12-19,272.15,274.6,269.9,273.67,144632000
AAPL,2025-12-22,272.86,273.88,270.51,270.97,36571800
AAPL,2025-12-23,270.84,272.5,269.56,272.36,29642000
AAPL,2025-12-24,272.34,275.43,272.2,273.81,17910600
AAPL,2025-12-26,274.16,275.37,272.86,273.4,21521800
AAPL,2025-12-29,272.69,274.36,272.35,273.76,23715200
AAPL,2025-12-30,272.81,274.08,272.28,273.08,22139600
AAPL,2025-12-31,273.06,273.68,271.75,271.86,27293600
